,Year,Month,Day,Hour,Minute,Temperature,GHI,Relative Humidity,Latitude,Longitude
0,2021,1,1,0,30,1.2000000000000002,0,51.66,24.78,-103.43
1,2021,1,1,1,30,0.7000000000000001,0,53.66,24.78,-103.43
2,2021,1,1,2,30,0.1,0,56.42,24.78,-103.43
3,2021,1,1,3,30,-0.4,0,58.4,24.78,-103.43
4,2021,1,1,4,30,-0.7000000000000001,0,58.88,24.78,-103.43
5,2021,1,1,5,30,-0.4,0,56.1,24.78,-103.43
6,2021,1,1,6,30,-0.1,0,53.64,24.78,-103.43
7,2021,1,1,7,30,1.4,0,46.88,24.78,-103.43
8,2021,1,1,8,30,4.7,156,36.94,24.78,-103.43
9,2021,1,1,9,30,9.5,377,27.35,24.78,-103.43
10,2021,1,1,10,30,14.3,569,17.03,24.78,-103.43
11,2021,1,1,11,30,17.5,707,11.46,24.78,-103.43
12,2021,1,1,12,30,19.3,781,9.76,24.78,-103.43
13,2021,1,1,13,30,20.200000000000003,777,9.11,24.78,-103.43
14,2021,1,1,14,30,20.4,700,9.0,24.78,-103.43
15,2021,1,1,15,30,19.700000000000003,551,9.62,24.78,-103.43
16,2021,1,1,16,30,17.400000000000002,357,11.85,24.78,-103.43
17,2021,1,1,17,30,15.6,136,18.47,24.78,-103.43
18,2021,1,1,18,30,9.2,0,30.6,24.78,-103.43
19,2021,1,1,19,30,7.300000000000001,0,35.65,24.78,-103.43
20,2021,1,1,20,30,5.7,0,40.67,24.78,-103.43
21,2021,1,1,21,30,4.4,0,44.84,24.78,-103.43
22,2021,1,1,22,30,3.3000000000000003,0,48.44,24.78,-103.43
23,2021,1,1,23,30,2.3000000000000003,0,51.64,24.78,-103.43
24,2021,1,2,0,30,1.4,0,54.51,24.78,-103.43
25,2021,1,2,1,30,0.5,0,57.85,24.78,-103.43
26,2021,1,2,2,30,-0.3,0,61.31,24.78,-103.43
27,2021,1,2,3,30,-0.9,0,64.3,24.78,-103.43
28,2021,1,2,4,30,-1.2000000000000002,0,66.69,24.78,-103.43
29,2021,1,2,5,30,-1.2000000000000002,0,67.78,24.78,-103.43
30,2021,1,2,6,30,-0.9,0,67.39,24.78,-103.43
31,2021,1,2,7,30,0.4,0,62.06,24.78,-103.43
32,2021,1,2,8,30,3.5,155,51.620000000000005,24.78,-103.43
33,2021,1,2,9,30,7.0,378,42.04,24.78,-103.43
34,2021,1,2,10,30,9.5,571,33.93,24.78,-103.43
35,2021,1,2,11,30,11.5,710,28.52,24.78,-103.43
36,2021,1,2,12,30,13.1,781,24.5,24.78,-103.43
37,2021,1,2,13,30,14.3,778,21.42,24.78,-103.43
38,2021,1,2,14,30,15.1,696,19.29,24.78,-103.43
39,2021,1,2,15,30,15.3,554,18.11,24.78,-103.43
40,2021,1,2,16,30,14.1,360,18.91,24.78,-103.43
41,2021,1,2,17,30,12.9,139,26.77,24.78,-103.43
42,2021,1,2,18,30,6.9,0,41.08,24.78,-103.43
43,2021,1,2,19,30,5.4,0,44.6,24.78,-103.43
44,2021,1,2,20,30,4.3,0,48.24,24.78,-103.43
45,2021,1,2,21,30,3.6,0,49.74,24.78,-103.43
46,2021,1,2,22,30,3.0,0,50.22,24.78,-103.43
47,2021,1,2,23,30,2.5,0,50.11,24.78,-103.43
48,2021,1,3,0,30,2.1,0,49.47,24.78,-103.43
49,2021,1,3,1,30,1.8,0,48.620000000000005,24.78,-103.43
50,2021,1,3,2,30,1.5,0,47.98,24.78,-103.43
51,2021,1,3,3,30,1.3,0,46.69,24.78,-103.43
52,2021,1,3,4,30,1.0,0,46.22,24.78,-103.43
53,2021,1,3,5,30,0.6000000000000001,0,46.69,24.78,-103.43
54,2021,1,3,6,30,0.1,0,47.67,24.78,-103.43
55,2021,1,3,7,30,1.4,0,42.85,24.78,-103.43
56,2021,1,3,8,30,4.800000000000001,152,37.33,24.78,-103.43
57,2021,1,3,9,30,8.5,374,26.96,24.78,-103.43
58,2021,1,3,10,30,12.1,572,21.27,24.78,-103.43
59,2021,1,3,11,30,15.1,710,16.740000000000002,24.78,-103.43
60,2021,1,3,12,30,17.1,679,13.73,24.78,-103.43
61,2021,1,3,13,30,18.0,781,12.36,24.78,-103.43
62,2021,1,3,14,30,18.4,588,11.72,24.78,-103.43
63,2021,1,3,15,30,18.2,483,11.67,24.78,-103.43
64,2021,1,3,16,30,16.6,368,13.15,24.78,-103.43
65,2021,1,3,17,30,15.1,113,25.16,24.78,-103.43
66,2021,1,3,18,30,11.6,0,24.67,24.78,-103.43
67,2021,1,3,19,30,10.7,0,25.04,24.78,-103.43
68,2021,1,3,20,30,9.9,0,25.29,24.78,-103.43
69,2021,1,3,21,30,8.4,0,27.48,24.78,-103.43
70,2021,1,3,22,30,6.5,0,30.92,24.78,-103.43
71,2021,1,3,23,30,5.0,0,33.62,24.78,-103.43
72,2021,1,4,0,30,4.0,0,34.88,24.78,-103.43
73,2021,1,4,1,30,3.3000000000000003,0,35.160000000000004,24.78,-103.43
74,2021,1,4,2,30,2.8000000000000003,0,35.2,24.78,-103.43
75,2021,1,4,3,30,2.5,0,35.25,24.78,-103.43
76,2021,1,4,4,30,2.1,0,36.14,24.78,-103.43
77,2021,1,4,5,30,1.9,0,36.87,24.78,-103.43
78,2021,1,4,6,30,1.6,0,38.06,24.78,-103.43
79,2021,1,4,7,30,3.5,0,33.72,24.78,-103.43
80,2021,1,4,8,30,8.200000000000001,154,29.43,24.78,-103.43
81,2021,1,4,9,30,13.2,377,18.63,24.78,-103.43
82,2021,1,4,10,30,17.5,571,13.6,24.78,-103.43
83,2021,1,4,11,30,20.4,710,9.67,24.78,-103.43
84,2021,1,4,12,30,21.6,783,8.84,24.78,-103.43
85,2021,1,4,13,30,22.200000000000003,782,8.49,24.78,-103.43
86,2021,1,4,14,30,22.3,707,8.38,24.78,-103.43
87,2021,1,4,15,30,21.9,566,8.55,24.78,-103.43
88,2021,1,4,16,30,19.4,370,10.18,24.78,-103.43
89,2021,1,4,17,30,17.3,146,20.0,24.78,-103.43
90,2021,1,4,18,30,10.7,0,28.77,24.78,-103.43
91,2021,1,4,19,30,9.2,0,31.27,24.78,-103.43
92,2021,1,4,20,30,8.3,0,33.480000000000004,24.78,-103.43
93,2021,1,4,21,30,7.9,0,33.83,24.78,-103.43
94,2021,1,4,22,30,7.9,0,32.69,24.78,-103.43
95,2021,1,4,23,30,7.5,0,32.09,24.78,-103.43
96,2021,1,5,0,30,6.5,0,33.19,24.78,-103.43
97,2021,1,5,1,30,5.2,0,35.21,24.78,-103.43
98,2021,1,5,2,30,4.1000000000000005,0,36.64,24.78,-103.43
99,2021,1,5,3,30,3.4000000000000004,0,37.09,24.78,-103.43
100,2021,1,5,4,30,2.9000000000000004,0,37.01,24.78,-103.43
101,2021,1,5,5,30,2.6,0,36.54,24.78,-103.43
102,2021,1,5,6,30,2.3000000000000003,0,36.5,24.78,-103.43
103,2021,1,5,7,30,4.3,0,31.68,24.78,-103.43
104,2021,1,5,8,30,8.8,153,27.01,24.78,-103.43
105,2021,1,5,9,30,13.4,373,17.990000000000002,24.78,-103.43
106,2021,1,5,10,30,17.6,566,13.8,24.78,-103.43
107,2021,1,5,11,30,20.9,705,10.7,24.78,-103.43
108,2021,1,5,12,30,23.1,778,9.14,24.78,-103.43
109,2021,1,5,13,30,24.3,778,8.4,24.78,-103.43
110,2021,1,5,14,30,24.700000000000003,698,8.120000000000001,24.78,-103.43
111,2021,1,5,15,30,24.1,557,8.41,24.78,-103.43
112,2021,1,5,16,30,21.3,364,11.15,24.78,-103.43
113,2021,1,5,17,30,19.200000000000003,97,21.16,24.78,-103.43
114,2021,1,5,18,30,14.7,0,26.01,24.78,-103.43
115,2021,1,5,19,30,13.3,0,27.38,24.78,-103.43
116,2021,1,5,20,30,12.1,0,29.65,24.78,-103.43
117,2021,1,5,21,30,10.7,0,33.06,24.78,-103.43
118,2021,1,5,22,30,9.9,0,36.83,24.78,-103.43
119,2021,1,5,23,30,9.5,0,40.58,24.78,-103.43
120,2021,1,6,0,30,8.9,0,45.06,24.78,-103.43
121,2021,1,6,1,30,8.5,0,48.58,24.78,-103.43
122,2021,1,6,2,30,8.3,0,51.24,24.78,-103.43
123,2021,1,6,3,30,8.1,0,53.54,24.78,-103.43
